SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,6,10,W0,RE+MISA,264,6749.90825,4600.88595252503,0.00527720118007134,0.0476281050897448,0.101221659868088
3.01029995663981,1,6,10,W0,RE+IVA-L bkt,1056,3232.114627,4640.52713919825,0.269649282896891,0.880205687146096,0.776023621959757
3.01029995663981,1,6,10,W0,gPCA+MISA,323,7052.755253,1591.57138761881,0.0054793451468652,0.0756579846328954,0.101309148697084
3.01029995663981,1,6,10,W0,gPCA+IVA-L bkt,1292,4024.142259,1593.41864558127,0.0107699298800813,0.171775353898707,0.106517135225569
3.01029995663981,3,6,10,W0,RE+MISA,276,6096.493236,7296.27721598255,0.00455151628146707,0.0409832671792019,0.00966647476720062
3.01029995663981,3,6,10,W0,RE+IVA-L bkt,1104,3355.496636,7328.18886358153,0.165512678648912,0.768900932720556,0.47858590716842
3.01029995663981,3,6,10,W0,gPCA+MISA,357,7714.292763,1564.49370212351,0.00453924957836673,0.0408114225461061,0.00965969394173971
3.01029995663981,3,6,10,W0,gPCA+IVA-L bkt,1428,4519.537214,1566.27135283697,0.0088796275820052,0.144727512486505,0.0137000816721107
3.01029995663981,7,6,10,W0,RE+MISA,282,6358.8359,6684.9980622705,0.00496498297813472,0.0446820681887102,0.0182760660383343
3.01029995663981,7,6,10,W0,RE+IVA-L bkt,1128,3564.577574,6711.03994573027,0.126233281854865,0.698691725879708,0.388147033131571
3.01029995663981,7,6,10,W0,gPCA+MISA,435,9458.289171,1569.1135210679,0.00515973541517515,0.0745877504471654,0.0184075938557258
3.01029995663981,7,6,10,W0,gPCA+IVA-L bkt,1740,5364.004869,1571.3554203816,0.00981234376198422,0.178358578644814,0.0230391140892598
3.01029995663981,15,6,10,W0,RE+MISA,250,6698.22026,6431.18916288546,0.00823515419946215,0.0771064071105902,0.0294027575448401
3.01029995663981,15,6,10,W0,RE+IVA-L bkt,1000,2855.341928,6469.44827483641,0.217933187664655,0.836161059789212,0.618320765310683
3.01029995663981,15,6,10,W0,gPCA+MISA,368,7968.221583,1574.84165559831,0.00682384515820972,0.0626749759813712,0.0283007160296873
3.01029995663981,15,6,10,W0,gPCA+IVA-L bkt,1472,4557.122654,1576.38943338529,0.00917388142987819,0.0826208488082691,0.0327355730385022
30,7,6,10,W0,RE+MISA,377,15250.498255,6461.42629826064,0.00594598452614837,0.0550050200015669,0.00334452433826327
30,7,6,10,W0,RE+IVA-L bkt,1508,4240.702703,6472.87944953256,0.0264197717308286,0.399929264845056,0.0440874670728846
30,7,6,10,W0,gPCA+MISA,282,5827.91536,1561.80914919984,0.00445799441627343,0.040075243563704,0.00235448803075222
30,7,6,10,W0,gPCA+IVA-L bkt,1128,3411.394022,1563.34605437901,0.00794011511326665,0.0762786386889362,0.00575752506270488
10,7,6,10,W0,RE+MISA,425,23531.515092,6489.67370249276,0.00921457123984834,0.0888458135502605,0.0123512914961137
10,7,6,10,W0,RE+IVA-L bkt,1700,5054.323498,6498.51622200583,0.0266682014699397,0.376355900074242,0.0453092608049817
10,7,6,10,W0,gPCA+MISA,404,8679.316958,1564.07203611766,0.00456084848585917,0.0410003317300206,0.00759858384075507
10,7,6,10,W0,gPCA+IVA-L bkt,1425,4386.688652,1565.22720814532,0.00779311749558617,0.0693887511167826,0.0114960440729082
3.01029995663981,7,6,10,W0,RE+MISA,283,7780.60982,6513.03882377935,0.0119362631628131,0.11689542507293,0.0284429883829072
3.01029995663981,7,6,10,W0,RE+IVA-L bkt,1132,3454.462779,6547.63760807579,0.216252763122031,0.826814594284383,0.629996626728716
3.01029995663981,7,6,10,W0,gPCA+MISA,402,8580.042962,1569.11352119722,0.00516007655760552,0.0746762346792468,0.0184080294612972
3.01029995663981,7,6,10,W0,gPCA+IVA-L bkt,1608,4460.304257,1570.94033218061,0.00893818491078284,0.120562712389,0.0228927615497885
0.457574905606751,7,6,10,W0,RE+MISA,405,13219.38991,6577.21039658845,0.0178106526186684,0.230350623371585,0.0699112620574065
0.457574905606751,7,6,10,W0,RE+IVA-L bkt,1620,3044.879011,6600.54619206783,0.151163626338208,0.745227818456824,0.512554152143028
0.457574905606751,7,6,10,W0,gPCA+MISA,392,5251.803899,1580.50879452437,0.00662677425150334,0.0605010008855539,0.0480929093026168
0.457574905606751,7,6,10,W0,gPCA+IVA-L bkt,1568,2952.347417,1581.78743902454,0.00918571638103448,0.0817838052076461,0.0528780605946648
0.0043451177401773,7,6,10,W0,RE+MISA,515,7990.526252,7519.76316370834,0.0384401947233393,0.382310563030993,0.380135561581036
0.0043451177401773,7,6,10,W0,RE+IVA-L bkt,2060,3890.200388,7556.94636087943,0.52932683109954,0.97624825565478,1.26818504059995
0.0043451177401773,7,6,10,W0,gPCA+MISA,671,8756.362921,1646.42493352178,0.0229361475158471,0.254705049313692,0.329227933689293
0.0043451177401773,7,6,10,W0,gPCA+IVA-L bkt,2684,4975.921964,1656.20843549258,0.125115480136021,0.649681468214187,0.601592646578718
