SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,2,7,W0,RE+MISA,209,2623.201492,4594.87488792074,0.00524031299001044,0.0473338060886895,0.101195015791631
3.01029995663981,1,2,7,W0,RE+IVA-L bkt,836,1317.687866,4645.67063952626,0.36339853244452,0.934228333584076,0.943584507614967
3.01029995663981,1,2,7,W0,gPCA+MISA,488,6068.976857,1591.25447384065,0.00524044370850981,0.0473362349312159,0.101194032561466
3.01029995663981,1,2,7,W0,gPCA+IVA-L bkt,1952,2848.355546,1593.14414773694,0.0106902808069005,0.190883768895622,0.106134992555508
3.01029995663981,3,2,7,W0,RE+MISA,225,2954.622788,7306.68819360754,0.00452515597635616,0.0407016940037954,0.00943127286932377
3.01029995663981,3,2,7,W0,RE+IVA-L bkt,900,1363.395927,7347.67303643748,0.208222369678309,0.826452309720721,0.627413431289999
3.01029995663981,3,2,7,W0,gPCA+MISA,325,4157.970577,1564.51296157995,0.00451863483135154,0.0406216235304781,0.00942212990610547
3.01029995663981,3,2,7,W0,gPCA+IVA-L bkt,1214,1807.37063,1565.65917476033,0.00774211852467465,0.0688391476899308,0.0131213681363964
3.01029995663981,7,2,7,W0,RE+MISA,269,3781.697744,6692.7995184132,0.00644775226790418,0.171886852612884,0.0184886320562989
3.01029995663981,7,2,7,W0,RE+IVA-L bkt,1076,1586.28274,6733.1975605451,0.231746934956164,0.857194257434393,0.667113053923855
3.01029995663981,7,2,7,W0,gPCA+MISA,253,3067.178445,1568.69110880033,0.00491510968415976,0.0441850154839295,0.0177633286201402
3.01029995663981,7,2,7,W0,gPCA+IVA-L bkt,1012,1470.587577,1572.08284803352,0.0104434950938279,0.200881780850462,0.0230730891631878
3.01029995663981,15,2,7,W0,RE+MISA,258,3608.185883,6444.97677487,0.00832671549621926,0.0779070553130819,0.0292070623484493
3.01029995663981,15,2,7,W0,RE+IVA-L bkt,1032,1525.949536,6484.31920542875,0.220921835115347,0.856563859633218,0.659918638421427
3.01029995663981,15,2,7,W0,gPCA+MISA,357,4387.280768,1575.04780766193,0.00692256657777919,0.0853490008366389,0.0279552267153624
3.01029995663981,15,2,7,W0,gPCA+IVA-L bkt,1428,2077.837374,1576.91339823343,0.0102049297884849,0.162907344672538,0.032731638868118
30,7,2,7,W0,RE+MISA,310,6558.261606,6503.96776961549,0.00595371904318294,0.0550768636939252,0.00298527065298448
30,7,2,7,W0,RE+IVA-L bkt,1240,1844.9038,6520.87247809268,0.0529839544562063,0.522736313517013,0.142904767640943
30,7,2,7,W0,gPCA+MISA,279,3509.391965,1561.83227297405,0.00444292998537921,0.0399320507509765,0.00228675604001438
30,7,2,7,W0,gPCA+IVA-L bkt,1116,1620.774012,1564.93405757428,0.0100180512759535,0.201610647295467,0.00599920840633472
10,7,2,7,W0,RE+MISA,301,5735.974022,6528.90821900218,0.00863785365909354,0.0825505581185568,0.0104943459458553
10,7,2,7,W0,RE+IVA-L bkt,1204,1821.468671,6547.20646452203,0.0731893335468767,0.585394822895111,0.209588189535873
10,7,2,7,W0,gPCA+MISA,425,5272.180616,1564.07719464944,0.00453588905805835,0.0407552355641444,0.00739422977717097
10,7,2,7,W0,gPCA+IVA-L bkt,1435,2138.829251,1565.67826683757,0.00855060630671399,0.142130122095174,0.0114190866728896
3.01029995663981,7,2,7,W0,RE+MISA,356,6423.301058,6541.18695557743,0.0112169015556292,0.108788283894262,0.0247710760708093
3.01029995663981,7,2,7,W0,RE+IVA-L bkt,1424,2118.387918,6561.69609308312,0.0958771602896216,0.642897892713676,0.278767373022694
3.01029995663981,7,2,7,W0,gPCA+MISA,242,3000.496568,1568.69110881191,0.00491524407172811,0.0441865346493271,0.0177636258888778
3.01029995663981,7,2,7,W0,gPCA+IVA-L bkt,968,1409.687134,1572.90709542233,0.0126313647333363,0.248396679164546,0.0244229083562955
0.457574905606751,7,2,7,W0,RE+MISA,537,11706.878703,6586.69436633487,0.0167538443673716,0.19363032369386,0.0618314520029406
0.457574905606751,7,2,7,W0,RE+IVA-L bkt,2148,3166.635102,6598.53176042738,0.0541326575542367,0.518351328175961,0.154082522208768
0.457574905606751,7,2,7,W0,gPCA+MISA,317,4246.137216,1580.37978113035,0.00652220854157329,0.0595436691854841,0.0467967269302747
0.457574905606751,7,2,7,W0,gPCA+IVA-L bkt,1268,2667.882826,1581.64692809067,0.00909673547202461,0.0809692567064562,0.0516580105927924
0.0043451177401773,7,2,7,W0,RE+MISA,410,7168.322568,7527.41777825344,0.0431486994356332,0.423653260172885,0.380138503962783
0.0043451177401773,7,2,7,W0,RE+IVA-L bkt,1640,2707.962105,7567.77444134272,0.547270872888741,0.983996826209615,1.30640899121344
0.0043451177401773,7,2,7,W0,gPCA+MISA,373,5631.477665,1646.020679974,0.0212360307162716,0.216741276620573,0.319735835152346
0.0043451177401773,7,2,7,W0,gPCA+IVA-L bkt,1492,2909.567933,1656.45972677989,0.142149596124418,0.661867981402379,0.630450393705507
