SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,5,7,W0,MISA w/o GP,10000,2835.386509,181.318268563452,0.156738001794267,0.740911229593006,0.637457864857489
3.01029995663981,1,5,7,W0,MISA w/ GP,2068,6243.154583,180.519649898246,0.0462110227366068,0.295448529440904,0.191123736524641
3.01029995663981,1,5,7,W0,JBD SOS,2068,3948.531674,182.339294790858,0.339171652574868,0.916750571950469,1.10229169741005
3.01029995663981,3,5,7,W0,MISA w/o GP,3409,378.196645,326.712861530604,0.109776915200491,0.685502973171851,0.537179842277405
3.01029995663981,3,5,7,W0,MISA w/ GP,188,561.123274,325.765460516093,0.0321840723364413,0.132002671300663,0.173088265206356
3.01029995663981,3,5,7,W0,JBD SOS,188,3935.159116,328.060463203509,0.327074800131364,0.91938336188805,1.03838058510355
3.01029995663981,7,5,7,W0,MISA w/o GP,10000,3667.885716,275.725856857999,0.149946824363569,0.711946825966317,0.632281945603481
3.01029995663981,7,5,7,W0,MISA w/ GP,1579,5583.217147,275.113553278952,0.0816408120244046,0.37864379183931,0.261187957959775
3.01029995663981,7,5,7,W0,JBD SOS,1579,4060.212046,276.974284631642,0.323009218243295,0.920587993289016,1.10373573857607
3.01029995663981,15,5,7,W0,MISA w/o GP,5815,2078.758237,268.735085478853,0.140072557494512,0.66711821929876,0.525292022015246
3.01029995663981,15,5,7,W0,MISA w/ GP,2571,4436.840882,268.534235450568,0.106168204255237,0.562575233980577,0.418806357766528
3.01029995663981,15,5,7,W0,JBD SOS,2571,4123.024964,270.088382252858,0.322870359449004,0.910867586848309,1.10221944236379
30,7,5,7,W0,MISA w/o GP,375,163.441371,278.15616268694,0.384216358742189,0.950674473134295,1.23563280098844
30,7,5,7,W0,MISA w/ GP,0,2504.501476,278.15616268694,0.384216358742189,0.950674473134295,1.23563280098844
30,7,5,7,W0,JBD SOS,0,3974.259265,277.624923735664,0.316568656750719,0.904971869128592,0.978639757935899
10,7,5,7,W0,MISA w/o GP,2223,1014.938531,277.765185634312,0.383581978685857,0.938251844950792,1.17990446800912
10,7,5,7,W0,MISA w/ GP,0,4971.714113,276.528061030747,0.122408344751681,0.696055126088194,0.52853984996992
10,7,5,7,W0,JBD SOS,0,4046.880368,277.896773490117,0.329105898063734,0.930535939427829,1.04966836466326
3.01029995663981,7,5,7,W0,MISA w/o GP,10000,2659.498191,269.952637884493,0.2140680661789,0.825925349810949,0.796617924858479
3.01029995663981,7,5,7,W0,MISA w/ GP,0,7640.893385,269.353185477364,0.111987483898821,0.554307355666065,0.401233924455344
3.01029995663981,7,5,7,W0,JBD SOS,0,4187.493743,270.977421226432,0.361054274674789,0.933361475990696,1.06545110429468
0.457574905606751,7,5,7,W0,MISA w/o GP,10000,1711.29599,260.155692811947,0.277406285126594,0.862911441175618,0.860337691684691
0.457574905606751,7,5,7,W0,MISA w/ GP,0,4430.436778,260.155692811947,0.277406285126594,0.862911441175618,0.860337691684691
0.457574905606751,7,5,7,W0,JBD SOS,0,4017.016503,261.034546215083,0.36580748012215,0.94795783877218,1.2450622127959
0.0043451177401773,7,5,7,W0,MISA w/o GP,10000,1159.208632,284.372652235232,0.372511865357409,0.917895653158366,1.18406658511143
0.0043451177401773,7,5,7,W0,MISA w/ GP,0,2166.828166,284.372652235232,0.372511865357409,0.917895653158366,1.18406658511143
0.0043451177401773,7,5,7,W0,JBD SOS,0,3879.171117,285.167155859799,0.400738114071151,0.964461430135912,1.37248085480165
