SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,2,6,W0,MISA w/o GP,10000,1896.052169,183.524440304913,0.10067283712438,0.638635613982991,0.567853472201128
3.01029995663981,1,2,6,W0,MISA w/ GP,3831,4197.446908,182.918112731166,0.0420942347380161,0.216340050822163,0.263973378224582
3.01029995663981,1,2,6,W0,JBD SOS,3831,2724.573112,184.987333914271,0.333883123486106,0.913895837786972,1.17192935164776
3.01029995663981,3,2,6,W0,MISA w/o GP,4740,1005.285422,318.578976918179,0.199918745760926,0.829175608329041,0.743848460827792
3.01029995663981,3,2,6,W0,MISA w/ GP,395,1519.055321,317.091649913899,0.0336319698784031,0.137838085861905,0.161033081112617
3.01029995663981,3,2,6,W0,JBD SOS,395,2842.955866,319.349790530878,0.310922490673877,0.87342269354327,0.8817452860856
3.01029995663981,7,2,6,W0,MISA w/o GP,5380,1360.282747,280.117004961352,0.16278288976303,0.799287018611323,0.7296745591351
3.01029995663981,7,2,6,W0,MISA w/ GP,1447,4176.412241,279.501726047572,0.0869514613852415,0.513723415831256,0.272297868462813
3.01029995663981,7,2,6,W0,JBD SOS,1447,2908.194398,281.208935599659,0.312818516332275,0.905144922833783,1.07629385116967
3.01029995663981,15,2,6,W0,MISA w/o GP,7316,1139.434408,270.338074600545,0.123912738318356,0.696535628416792,0.67022399628728
3.01029995663981,15,2,6,W0,MISA w/ GP,1091,3495.255606,269.797047305243,0.0867095035851072,0.456993326910695,0.191798727130289
3.01029995663981,15,2,6,W0,JBD SOS,1091,2906.251312,271.623592963792,0.323181966373628,0.91710442997256,1.06064117696704
30,7,2,6,W0,MISA w/o GP,4217,1300.481508,277.52239679755,0.135981447395129,0.717287079848112,0.592615396540883
30,7,2,6,W0,MISA w/ GP,0,3181.537001,276.675538002171,0.0468796545540086,0.205312100040044,0.176021287206406
30,7,2,6,W0,JBD SOS,0,2926.866053,278.790120834565,0.308928190977888,0.900385104007581,1.01854929110738
10,7,2,6,W0,MISA w/o GP,1896,588.943454,274.870463426558,0.281523507373751,0.88814083142853,0.884417287065685
10,7,2,6,W0,MISA w/ GP,0,3203.484228,274.172022140777,0.138938439069157,0.712403123737621,0.574082984743162
10,7,2,6,W0,JBD SOS,0,2911.859355,275.522271661822,0.319551974475109,0.920446570156063,1.08798795764663
3.01029995663981,7,2,6,W0,MISA w/o GP,729,224.589785,274.303832041188,0.388374313733828,0.953896263848627,1.22048444675516
3.01029995663981,7,2,6,W0,MISA w/ GP,0,4255.046611,272.608213311186,0.145298532134145,0.759596333711288,0.555473466841309
3.01029995663981,7,2,6,W0,JBD SOS,0,2911.039323,273.888819115427,0.342909384503626,0.936154729206988,1.08262667256745
0.457574905606751,7,2,6,W0,MISA w/o GP,10000,1545.436027,258.619490194375,0.267247631526084,0.852082612990757,0.81559450407959
0.457574905606751,7,2,6,W0,MISA w/ GP,0,7594.968003,258.548810663146,0.259359464723664,0.816517028940367,0.752192425851318
0.457574905606751,7,2,6,W0,JBD SOS,0,2849.872286,259.607196092787,0.371219896011972,0.946384427145726,1.19585896163752
0.0043451177401773,7,2,6,W0,MISA w/o GP,8505,553.687155,287.379090943404,0.335596683255551,0.940526600895196,1.28556197664529
0.0043451177401773,7,2,6,W0,MISA w/ GP,0,1292.465611,287.379090943404,0.335596683255551,0.940526600895196,1.28556197664529
0.0043451177401773,7,2,6,W0,JBD SOS,0,2564.421099,288.170353551555,0.40175948925087,0.967837871113345,1.36729784293895
