SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,4,4,W0,MISA w/o GP,10000,1139.976684,181.735740363881,0.0996050864266676,0.697574619988102,0.499052056836276
3.01029995663981,1,4,4,W0,MISA w/ GP,727,3139.675259,181.127095489573,0.045074188013973,0.203950638917015,0.17716708853171
3.01029995663981,1,4,4,W0,JBD SOS,727,3054.746198,183.027501035081,0.320087682449019,0.905657352374931,0.95033187845327
3.01029995663981,3,4,4,W0,MISA w/o GP,8000,1583.375702,305.61516652207,0.133505485593682,0.697810476016369,0.540624686948711
3.01029995663981,3,4,4,W0,MISA w/ GP,920,2739.793515,304.905722202929,0.0619565987250308,0.301456409493728,0.190750562486724
3.01029995663981,3,4,4,W0,JBD SOS,920,3045.376927,306.822283498948,0.326577016126499,0.902566865854041,0.958671755138986
3.01029995663981,7,4,4,W0,MISA w/o GP,10000,2701.385783,274.036456845981,0.158298769506183,0.750281033502798,0.513442974691779
3.01029995663981,7,4,4,W0,MISA w/ GP,1096,6394.73556,273.579689077383,0.100337560560683,0.516954204403654,0.379228301549672
3.01029995663981,7,4,4,W0,JBD SOS,1096,4499.069621,275.176490405957,0.305931885917049,0.874063418836803,0.884421681337218
3.01029995663981,15,4,4,W0,MISA w/o GP,10000,1755.404066,264.060010666875,0.165875893277449,0.75188662067882,0.699945687911415
3.01029995663981,15,4,4,W0,MISA w/ GP,2926,6352.762949,263.476917758115,0.0941466222658042,0.553038743846277,0.331222735452676
3.01029995663981,15,4,4,W0,JBD SOS,2926,4214.74163,265.143547376499,0.331258624119268,0.916158511416452,1.01652370763121
30,7,4,4,W0,MISA w/o GP,2460,761.844534,277.715125395527,0.312172039250294,0.89036861343384,0.994568552298249
30,7,4,4,W0,MISA w/ GP,0,3216.037298,276.191015518673,0.0619408740824615,0.445567772959975,0.224772918004622
30,7,4,4,W0,JBD SOS,0,4388.758454,278.059989823851,0.300928287521736,0.894949410607697,1.02232406166441
10,7,4,4,W0,MISA w/o GP,6786,1813.024201,277.534047361036,0.166542499813248,0.755057609123812,0.722277007049798
10,7,4,4,W0,MISA w/ GP,0,5473.631514,276.931362017749,0.0932461586370572,0.539881000152959,0.361374618689642
10,7,4,4,W0,JBD SOS,0,4190.045068,278.637790973848,0.334668602073114,0.928428602156922,1.07103081251761
3.01029995663981,7,4,4,W0,MISA w/o GP,1009,321.237229,276.395975330552,0.387985539688479,0.954933697565568,1.22703601133809
3.01029995663981,7,4,4,W0,MISA w/ GP,0,6138.981607,274.394640694512,0.0856861443889525,0.582752210737586,0.455532365160728
3.01029995663981,7,4,4,W0,JBD SOS,0,3872.48019,275.933713270162,0.324998749769353,0.904126260234713,1.05966062428528
0.457574905606751,7,4,4,W0,MISA w/o GP,10000,1361.615016,270.743942455385,0.233186476211177,0.80834536420494,0.783633404128184
0.457574905606751,7,4,4,W0,MISA w/ GP,0,3782.946694,270.596859990099,0.183181173456903,0.758624085197281,0.617869703794595
0.457574905606751,7,4,4,W0,JBD SOS,0,2673.06692,271.718793856496,0.35514457889791,0.934100912229443,1.16443681784512
0.0043451177401773,7,4,4,W0,MISA w/o GP,8894,611.585136,284.668088169603,0.364070563134003,0.928653347509328,1.1581875571517
0.0043451177401773,7,4,4,W0,MISA w/ GP,0,1014.92312,284.668088169603,0.364070563134003,0.928653347509328,1.1581875571517
0.0043451177401773,7,4,4,W0,JBD SOS,0,2666.633999,285.476837416825,0.412449003217894,0.963435725057603,1.34823355511437
