SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,8,6,W0,MISA w/o GP,10000,1470.52112,181.521158994559,0.139746016496402,0.759515269844937,0.66871979289745
3.01029995663981,1,8,6,W0,MISA w/ GP,1055,3744.272881,180.66874674963,0.0452405563350318,0.242942125861603,0.241153989798217
3.01029995663981,1,8,6,W0,JBD SOS,1055,2585.449803,182.603231947773,0.326752748533094,0.898852437403539,0.989634922723339
3.01029995663981,3,8,6,W0,MISA w/o GP,3961,848.567767,305.644432947889,0.119451144427684,0.738821853280421,0.500173025586254
3.01029995663981,3,8,6,W0,MISA w/ GP,2,1886.1788,304.984426424554,0.050259360579754,0.411049669325845,0.303877750394475
3.01029995663981,3,8,6,W0,JBD SOS,2,2580.597987,306.918208369945,0.30114757708576,0.886616933718108,0.900674350649582
3.01029995663981,7,8,6,W0,MISA w/o GP,10000,2410.057858,280.839051809937,0.112898830855056,0.669579118413798,0.454871932309244
3.01029995663981,7,8,6,W0,MISA w/ GP,1078,3219.628363,280.345125740715,0.0604369399438409,0.331422148997904,0.170802408847548
3.01029995663981,7,8,6,W0,JBD SOS,1078,2604.824756,282.209121352708,0.316741055254065,0.907006371976669,0.984764641895011
3.01029995663981,15,8,6,W0,MISA w/o GP,9851,2443.612062,267.138713028909,0.197366636601126,0.82322811209585,0.626821355640016
3.01029995663981,15,8,6,W0,MISA w/ GP,2064,4739.682592,266.44366243797,0.0899068632256541,0.536557863487678,0.380979751312769
3.01029995663981,15,8,6,W0,JBD SOS,2064,2706.311949,268.070148046094,0.317269661371622,0.910254101129995,1.04555665278338
30,7,8,6,W0,MISA w/o GP,1971,429.517449,285.617248740828,0.409116624148071,0.952222948449942,1.24534431223749
30,7,8,6,W0,MISA w/ GP,0,2014.436315,283.006542293858,0.0505625033840273,0.257793468063462,0.208964378831052
30,7,8,6,W0,JBD SOS,0,2918.159639,284.878349957655,0.264272148355346,0.852965052491328,0.873892367294163
10,7,8,6,W0,MISA w/o GP,805,258.231893,286.23397309878,0.414621846143019,0.959822333321178,1.20859597231195
10,7,8,6,W0,MISA w/ GP,0,4594.801531,283.93984790176,0.077282483117001,0.440029590189781,0.302632933407238
10,7,8,6,W0,JBD SOS,0,2939.500819,285.720436484276,0.33649371576647,0.908336665143436,1.02905954018611
3.01029995663981,7,8,6,W0,MISA w/o GP,1903,546.807631,285.370551182516,0.348136224738503,0.935615450303213,1.09808727181592
3.01029995663981,7,8,6,W0,MISA w/ GP,0,3623.948032,283.8935753337,0.0848728243134324,0.49818470812508,0.361375281178184
3.01029995663981,7,8,6,W0,JBD SOS,0,2867.157843,285.465357815029,0.30513204071108,0.883164575258243,0.905888052076465
0.457574905606751,7,8,6,W0,MISA w/o GP,5275,918.946968,278.13137645673,0.14809004039132,0.703676720227208,0.448720030278591
0.457574905606751,7,8,6,W0,MISA w/ GP,0,3335.786731,277.905213223991,0.109828654081869,0.590681409504823,0.357281401997699
0.457574905606751,7,8,6,W0,JBD SOS,0,2842.778695,279.383245217932,0.329726117927108,0.912965935042891,1.05575905688072
0.0043451177401773,7,8,6,W0,MISA w/o GP,5034,550.098671,286.26410794163,0.364522731619068,0.925403241925309,1.24749284369271
0.0043451177401773,7,8,6,W0,MISA w/ GP,0,1235.460074,286.26410794163,0.364522731619068,0.925403241925309,1.24749284369271
0.0043451177401773,7,8,6,W0,JBD SOS,0,2956.727452,287.016780396894,0.377098069803329,0.952055314603175,1.32033005293253
