SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,7,10,W0,MISA w/o GP,10000,929.606278,181.643090937747,0.139415290310187,0.729159967661694,0.60063373763684
3.01029995663981,1,7,10,W0,MISA w/ GP,819,2219.041532,180.773607004979,0.0427931444625428,0.177676474326042,0.175043792669632
3.01029995663981,1,7,10,W0,JBD SOS,819,1875.920296,182.705252311565,0.299522666147294,0.877014690592019,0.880084783896935
3.01029995663981,3,7,10,W0,MISA w/o GP,3564,669.157181,311.617994636344,0.113085325324211,0.698428399693227,0.529347502733962
3.01029995663981,3,7,10,W0,MISA w/ GP,231,1403.213724,310.784671204207,0.0473538958997087,0.208936424187247,0.143506606153949
3.01029995663981,3,7,10,W0,JBD SOS,231,1890.143249,312.831524056654,0.298208119201928,0.867317564319128,0.836119867210505
3.01029995663981,7,7,10,W0,MISA w/o GP,654,89.606555,285.090661957335,0.397204328999622,0.945515298918338,1.25761025179183
3.01029995663981,7,7,10,W0,MISA w/ GP,1025,1861.263808,282.843415037636,0.0763446437902024,0.450002860392013,0.303338336908689
3.01029995663981,7,7,10,W0,JBD SOS,1025,1921.993748,284.707179443353,0.317762436406083,0.902354197730119,1.02108299524421
3.01029995663981,15,7,10,W0,MISA w/o GP,5401,614.166287,271.483993064872,0.272445158772615,0.855405136829123,0.872458432754831
3.01029995663981,15,7,10,W0,MISA w/ GP,1526,3498.45226,270.163143173187,0.0697238338896821,0.347057042502475,0.241001834320422
3.01029995663981,15,7,10,W0,JBD SOS,1526,2076.833087,271.930518609228,0.271214052437008,0.843128063071932,0.923581913546074
30,7,7,10,W0,MISA w/o GP,1318,274.746602,278.909191890519,0.398968232332921,0.94808852803178,1.25687456183825
30,7,7,10,W0,MISA w/ GP,0,3280.13922,276.484676625762,0.0448615587766162,0.200547591899657,0.198799310638995
30,7,7,10,W0,JBD SOS,0,2074.912379,278.634409674359,0.317715661590295,0.907564406263319,1.01053345285047
10,7,7,10,W0,MISA w/o GP,961,151.073922,280.971612396709,0.413689088548258,0.946879572991428,1.30494361515867
10,7,7,10,W0,MISA w/ GP,0,4633.616604,278.774777388205,0.0767434098064854,0.473764968405246,0.434287523977518
10,7,7,10,W0,JBD SOS,0,1964.775877,280.560411360279,0.330217638610242,0.921874622184571,1.02707373258253
3.01029995663981,7,7,10,W0,MISA w/o GP,10000,1814.429175,274.752091765757,0.1328829737698,0.736561807237069,0.637636081440632
3.01029995663981,7,7,10,W0,MISA w/ GP,0,3537.219472,274.360466356846,0.0889326945007916,0.478115344625887,0.346099767633318
3.01029995663981,7,7,10,W0,JBD SOS,0,1945.206885,276.114695670149,0.347309234356896,0.939505365591058,1.1655151382505
0.457574905606751,7,7,10,W0,MISA w/o GP,10000,1676.502168,263.481617997824,0.240952041654123,0.832134575672469,0.97752795600124
0.457574905606751,7,7,10,W0,MISA w/ GP,0,4865.102026,263.187053438611,0.172903154088175,0.712514331839779,0.65525411187458
0.457574905606751,7,7,10,W0,JBD SOS,0,2081.384638,264.363183041242,0.358682486693069,0.942973767924427,1.23221914649795
0.0043451177401773,7,7,10,W0,MISA w/o GP,5497,283.337481,285.519937888149,0.382434136546215,0.955754583583591,1.33313141327804
0.0043451177401773,7,7,10,W0,MISA w/ GP,0,633.900454,285.519937888149,0.382434136546215,0.955754583583591,1.33313141327804
0.0043451177401773,7,7,10,W0,JBD SOS,0,1895.141553,286.283125533576,0.383943392139847,0.955449051714871,1.32919919734024
