SNRdB,Acond,Run,R0,Initial,Alg,Iter,WallTime,Cost,MISI,MMD,MMSE
3.01029995663981,1,4,6,W0,MISA w/o GP,8940,1175.004257,181.775646217373,0.103215478134417,0.652580259787487,0.424117680581055
3.01029995663981,1,4,6,W0,MISA w/ GP,889,2700.27765,181.107848374051,0.0422403135430249,0.176038922262118,0.165292625848618
3.01029995663981,1,4,6,W0,JBD SOS,889,2885.503708,183.054179372933,0.290394221420544,0.875397080693122,1.0162516352913
3.01029995663981,3,4,6,W0,MISA w/o GP,5872,485.087433,319.88175253363,0.125502174133959,0.726139880962791,0.49567775418017
3.01029995663981,3,4,6,W0,MISA w/ GP,168,698.799987,318.840531602929,0.0338824591044811,0.140321611570819,0.134765067526241
3.01029995663981,3,4,6,W0,JBD SOS,168,2949.400226,320.962729032692,0.275511044076412,0.877002400108417,0.801332160462729
3.01029995663981,7,4,6,W0,MISA w/o GP,7354,1202.104649,275.213796396492,0.169063574526746,0.780904663664535,0.632561762464339
3.01029995663981,7,4,6,W0,MISA w/ GP,1914,2987.879954,274.623160919489,0.0813414871676434,0.444620685854922,0.294859696588088
3.01029995663981,7,4,6,W0,JBD SOS,1914,2910.888784,276.307453218511,0.277543032716906,0.869743298089635,0.988062703548519
3.01029995663981,15,4,6,W0,MISA w/o GP,10000,2297.197806,264.515619686102,0.170839440037495,0.82589231337425,0.551480764102368
3.01029995663981,15,4,6,W0,MISA w/ GP,863,4805.02039,263.892842590958,0.0885160292865299,0.47525684897792,0.313418446767216
3.01029995663981,15,4,6,W0,JBD SOS,863,4147.377413,265.502894309099,0.298224898180317,0.870531138581714,0.895553462741756
30,7,4,6,W0,MISA w/o GP,959,389.460037,277.799125558416,0.390073100938408,0.951214875950806,1.23620704411841
30,7,4,6,W0,MISA w/ GP,0,5153.685269,275.758575010104,0.105760065585646,0.637792502828812,0.478315519836529
30,7,4,6,W0,JBD SOS,0,4059.290474,277.223175603811,0.293236054567922,0.877131592541158,0.93654763266071
10,7,4,6,W0,MISA w/o GP,311,88.430928,278.02490809017,0.391014403795434,0.951090052344021,1.26301994741953
10,7,4,6,W0,MISA w/ GP,0,5043.552811,275.884510414947,0.0965620923672355,0.512502178767351,0.297088830676813
10,7,4,6,W0,JBD SOS,0,3972.707683,277.531287170125,0.329048362258197,0.908474860555202,1.07263440868796
3.01029995663981,7,4,6,W0,MISA w/o GP,1006,433.356589,271.954782787658,0.38778733961763,0.933829115807176,1.19658241472695
3.01029995663981,7,4,6,W0,MISA w/ GP,0,4958.076688,271.643235089068,0.373140358202372,0.926883557027257,1.10763194030556
3.01029995663981,7,4,6,W0,JBD SOS,0,4131.992136,271.738860060661,0.32793658982453,0.913437194755901,1.11047685028413
0.457574905606751,7,4,6,W0,MISA w/o GP,654,300.056307,279.542801084153,0.391970459752358,0.950951832053336,1.30976912109111
0.457574905606751,7,4,6,W0,MISA w/ GP,0,4526.396078,277.829977221739,0.128399237607713,0.635325070150147,0.449410936507084
0.457574905606751,7,4,6,W0,JBD SOS,0,4031.124945,279.227838845813,0.334152951634798,0.915206133438677,1.17642631868579
0.0043451177401773,7,4,6,W0,MISA w/o GP,10000,1248.987803,284.853011479332,0.384226663607201,0.942155185165595,1.27972049482991
0.0043451177401773,7,4,6,W0,MISA w/ GP,0,2913.615763,284.853011479332,0.384226663607201,0.942155185165595,1.27972049482991
0.0043451177401773,7,4,6,W0,JBD SOS,0,3850.019288,285.62929308108,0.379252449461192,0.953004657503577,1.31309939801408
